Database,Table,Field,DataType,Key,NullValues,AutoIncrement,ReferenceFields,Description
OmniSeqKnowledgebase2,OmniGene,oncogenicCategory_graph_id,varchar(100),Foreign,N,N,EditableStatement.graph_id,
OmniSeqKnowledgebase2,OmniGene,synonyms_graph_id,varchar(100),Foreign,,N,EditableStatement.graph_id,
OmniSeqKnowledgebase2,OmniGene,transcript_graph_id,varchar(100),Foreign,,N,EditableStatement.graph_id,
OmniSeqKnowledgebase2,OmniGene,MyGeneInfoGene_graph_id,varchar(100),Foreign,N,N,MyGeneInfoGene.graph_id,
OmniSeqKnowledgebase2,OmniGene,JaxGene_graph_id,varchar(100),Foreign,Y,N,JaxGene.graph_id,
OmniSeqKnowledgebase2,OmniGene,UniprotEntry_graph_Id,varchar(100),Foreign,Y,N,UniprotEntry.graph_id,
OmniSeqKnowledgebase2,OmniGene,graph_id,varchar(100),Primary,N,N,,
OmniSeqKnowledgebase2,EditableInt,field,varchar(100),,N,N,,
OmniSeqKnowledgebase2,EditableInt,intValue,varchar(50),,N,N,,
OmniSeqKnowledgebase2,EditableInt,editDate,varchar(50),,N,N,,
OmniSeqKnowledgebase2,EditableInt,editorId,varchar(100),Foreign,N,N,,
OmniSeqKnowledgebase2,EditableInt,graph_id,varchar(100),Primary,N,N,,
OmniSeqKnowledgebase2,EditableInt_LiteratureReference,id,MEDIUMINT,Primary,N,Y,,
OmniSeqKnowledgebase2,EditableInt_LiteratureReference,EditableInt_graph_id,varchar(100),Foreign,N,N,EditableInt.graph_id,
OmniSeqKnowledgebase2,EditableInt_LiteratureReference,LiteratureReference_graph_id,varchar(100),Foreign,N,N,LiteratureReference.graph_id,
OmniSeqKnowledgebase2,EditableInt_InternetReference,id,MEDIUMINT,Primary,N,Y,,
OmniSeqKnowledgebase2,EditableInt_InternetReference,EditableInt_graph_id,varchar(100),Foreign,N,N,EditableInt.graph_id,
OmniSeqKnowledgebase2,EditableInt_InternetReference,InternetReference_graph_id,varchar(100),Foreign,N,N,InternetReference.graph_id,
OmniSeqKnowledgebase2,EditableBoolean,field,varchar(100),,N,N,,
OmniSeqKnowledgebase2,EditableBoolean,booleanValue,varchar(50),,N,N,,
OmniSeqKnowledgebase2,EditableBoolean,editDate,varchar(50),,N,N,,
OmniSeqKnowledgebase2,EditableBoolean,editorId,varchar(100),Foreign,N,N,,
OmniSeqKnowledgebase2,EditableBoolean,graph_id,varchar(100),Primary,N,N,,
OmniSeqKnowledgebase2,EditableBoolean_LiteratureReference,id,MEDIUMINT,Primary,N,Y,,
OmniSeqKnowledgebase2,EditableBoolean_LiteratureReference,EditableInt_graph_id,varchar(100),Foreign,N,N,EditableBoolean.graph_id,
OmniSeqKnowledgebase2,EditableBoolean_LiteratureReference,LiteratureReference_graph_id,varchar(100),Foreign,N,N,LiteratureReference.graph_id,
OmniSeqKnowledgebase2,EditableBoolean_InternetReference,id,MEDIUMINT,Primary,N,Y,,
OmniSeqKnowledgebase2,EditableBoolean_InternetReference,EditableInt_graph_id,varchar(100),Foreign,N,N,EditableBoolean.graph_id,
OmniSeqKnowledgebase2,EditableBoolean_InternetReference,InternetReference_graph_id,varchar(100),Foreign,N,N,InternetReference.graph_id,
OmniSeqKnowledgebase2,EditableCopyChange,field,varchar(100),,N,N,,
OmniSeqKnowledgebase2,EditableCopyChange,cnvType,varchar(50),,N,N,,
OmniSeqKnowledgebase2,EditableCopyChange,editDate,varchar(50),,N,N,,
OmniSeqKnowledgebase2,EditableCopyChange,editorId,varchar(100),Foreign,N,N,,
OmniSeqKnowledgebase2,EditableCopyChange,graph_id,varchar(100),Primary,N,N,,
OmniSeqKnowledgebase2,EditableCopyChange_LiteratureReference,id,MEDIUMINT,Primary,N,Y,,
OmniSeqKnowledgebase2,EditableCopyChange_LiteratureReference,EditableInt_graph_id,varchar(100),Foreign,N,N,EditableCopyChange.graph_id,
OmniSeqKnowledgebase2,EditableCopyChange_LiteratureReference,LiteratureReference_graph_id,varchar(100),Foreign,N,N,LiteratureReference.graph_id,
OmniSeqKnowledgebase2,EditableCopyChange_InternetReference,id,MEDIUMINT,Primary,N,Y,,
OmniSeqKnowledgebase2,EditableCopyChange_InternetReference,EditableInt_graph_id,varchar(100),Foreign,N,N,EditableCopyChange.graph_id,
OmniSeqKnowledgebase2,EditableCopyChange_InternetReference,InternetReference_graph_id,varchar(100),Foreign,N,N,InternetReference.graph_id,
OmniSeqKnowledgebase2,EditableProteinEffect,field,varchar(100),,N,N,,
OmniSeqKnowledgebase2,EditableProteinEffect,proteinEffect,varchar(50),,N,N,,
OmniSeqKnowledgebase2,EditableProteinEffect,editDate,varchar(50),,N,N,,
OmniSeqKnowledgebase2,EditableProteinEffect,editorId,varchar(100),Foreign,N,N,,
OmniSeqKnowledgebase2,EditableProteinEffect,graph_id,varchar(100),Primary,N,N,,
OmniSeqKnowledgebase2,EditableProteinEffect_LiteratureReference,id,MEDIUMINT,Primary,N,Y,,
OmniSeqKnowledgebase2,EditableProteinEffect_LiteratureReference,EditableInt_graph_id,varchar(100),Foreign,N,N,EditableProteinEffect.graph_id,
OmniSeqKnowledgebase2,EditableProteinEffect_LiteratureReference,LiteratureReference_graph_id,varchar(100),Foreign,N,N,LiteratureReference.graph_id,
OmniSeqKnowledgebase2,EditableProteinEffect_InternetReference,id,MEDIUMINT,Primary,N,Y,,
OmniSeqKnowledgebase2,EditableProteinEffect_InternetReference,EditableInt_graph_id,varchar(100),Foreign,N,N,EditableProteinEffect.graph_id,
OmniSeqKnowledgebase2,EditableProteinEffect_InternetReference,InternetReference_graph_id,varchar(100),Foreign,N,N,InternetReference.graph_id,
OmniSeqKnowledgebase2,EditableOmniGeneReference,field,varchar(100),,N,N,,
OmniSeqKnowledgebase2,EditableOmniGeneReference,gene_graph_id,varchar(100),Foreign,Y,N,OmniGene.graph_id,
OmniSeqKnowledgebase2,EditableOmniGeneReference,editDate,varchar(50),,N,N,,
OmniSeqKnowledgebase2,EditableOmniGeneReference,editorId,varchar(100),Foreign,N,N,,
OmniSeqKnowledgebase2,EditableOmniGeneReference,graph_id,varchar(100),Primary,N,N,,
OmniSeqKnowledgebase2,EditableOmniGeneReference_LiteratureReference,id,MEDIUMINT,Primary,N,Y,,
OmniSeqKnowledgebase2,EditableOmniGeneReference_LiteratureReference,EditableInt_graph_id,varchar(100),Foreign,N,N,EditableProteinEffect.graph_id,
OmniSeqKnowledgebase2,EditableOmniGeneReference_LiteratureReference,LiteratureReference_graph_id,varchar(100),Foreign,N,N,LiteratureReference.graph_id,
OmniSeqKnowledgebase2,EditableOmniGeneReference_InternetReference,id,MEDIUMINT,Primary,N,Y,,
OmniSeqKnowledgebase2,EditableOmniGeneReference_InternetReference,EditableInt_graph_id,varchar(100),Foreign,N,N,EditableProteinEffect.graph_id,
OmniSeqKnowledgebase2,EditableOmniGeneReference_InternetReference,InternetReference_graph_id,varchar(100),Foreign,N,N,InternetReference.graph_id,
OmniSeqKnowledgebase2,JaxVariant,name,varchar(100),,N,N,,
OmniSeqKnowledgebase2,JaxVariant,description_graph_id,varchar(100),Foreign,N,N,EditableStatement.graph_id,
OmniSeqKnowledgebase2,JaxVariant,jaxId,varchar(50),,Y,N,,
OmniSeqKnowledgebase2,JaxVariant,jaxGene_graph_id,varchar(100),Foreign,Y,N,JaxGene.graph_id,
OmniSeqKnowledgebase2,JaxVariant,pDot_graph_id,varchar(100),Foreign,N,N,EditableStatement.graph_id,
OmniSeqKnowledgebase2,JaxVariant,cDot_graph_id,varchar(100),Foreign,N,N,EditableStatement.graph_id,
OmniSeqKnowledgebase2,JaxVariant,gDot_graph_id,varchar(100),Foreign,N,N,EditableStatement.graph_id,
OmniSeqKnowledgebase2,JaxVariant,transcript_graph_id,varchar(100),Foreign,,N,EditableStatement.graph_id,
OmniSeqKnowledgebase2,JaxVariant,variantType,varchar(100),,Y,N,,
OmniSeqKnowledgebase2,JaxVariant,proteinEffect_graph_id,varchar(100),Foreign,N,N,EditableStatement.graph_id,
OmniSeqKnowledgebase2,JaxVariant,graph_id,varchar(100),Primary,N,N,,
OmniSeqKnowledgebase2,ClinVarVariant,variantId,varchar(100),,N,N,,
OmniSeqKnowledgebase2,ClinVarVariant,gene_graph_id,varchar(100),Foreign,N,N,EditableStatement.graph_id,
OmniSeqKnowledgebase2,ClinVarVariant,pDot_graph_id,varchar(100),Foreign,N,N,EditableStatement.graph_id,
OmniSeqKnowledgebase2,ClinVarVariant,cDot_graph_id,varchar(100),Foreign,N,N,EditableStatement.graph_id,
OmniSeqKnowledgebase2,ClinVarVariant,significance_graph_id,varchar(100),Foreign,N,N,EditableStatement.graph_id,
OmniSeqKnowledgebase2,ClinVarVariant,signficanceExplanation_graph_id,varchar(100),Foreign,,N,EditableStatement.graph_id,
OmniSeqKnowledgebase2,ClinVarVariant,graph_id,varchar(100),Primary,N,N,,
OmniSeqKnowledgebase2,OncoTreeOccurrence,disease_graph_id,varchar(100),Foreign,,N,EditableStatement.graph_id,
OmniSeqKnowledgebase2,OncoTreeOccurrence,oncoTreeCode,varchar(100),,N,N,,
OmniSeqKnowledgebase2,OncoTreeOccurrence,percentOccurrence_graph_id,varchar(100),Foreign,,N,EditableStatement.graph_id,
OmniSeqKnowledgebase2,OncoTreeOccurrence,occurrences_graph_id,varchar(100),Foreign,,N,EditableInt.graph_id,
OmniSeqKnowledgebase2,OncoTreeOccurrence,totalSamples_graph_id,varchar(100),Foreign,,N,EditableInt.graph_id,
OmniSeqKnowledgebase2,OncoTreeOccurrence,perThousandOccurrence,varchar(50),,N,N,,
OmniSeqKnowledgebase2,OncoTreeOccurrence,hotspotvariant_graph_id,varchar(100),Primary,N,N,,
OmniSeqKnowledgebase2,OncoTreeOccurrence,graph_id,varchar(100),Primary,N,N,,
OmniSeqKnowledgebase2,HotSpotVariant,name,varchar(100),,N,N,,
OmniSeqKnowledgebase2,HotSpotVariant,gene,varchar(100),,N,N,,
OmniSeqKnowledgebase2,HotSpotVariant,referenceAminoAcid,varchar(100),,N,N,,
OmniSeqKnowledgebase2,HotSpotVariant,variantAminoAcid,varchar(100),,N,N,,
OmniSeqKnowledgebase2,HotSpotVariant,begin_graph_id,varchar(100),Foreign,,N,EditableStatement.graph_id,
OmniSeqKnowledgebase2,HotSpotVariant,end_graph_id,varchar(100),Foreign,,N,EditableStatement.graph_id,
OmniSeqKnowledgebase2,HotSpotVariant,position_graph_id,varchar(100),Foreign,,N,EditableInt.graph_id,
OmniSeqKnowledgebase2,HotSpotVariant,graph_id,varchar(100),Primary,N,N,,
OmniSeqKnowledgebase2,GOVariant,name_graph_id,varchar(100),Foreign,,N,EditableStatement.graph_id,
OmniSeqKnowledgebase2,GOVariant,gene_graph_id,varchar(100),Foreign,,N,EditableStatement.graph_id,
OmniSeqKnowledgebase2,GOVariant,goId,varchar(50),,Y,N,,
OmniSeqKnowledgebase2,GOVariant,mutationType_graph_id,varchar(100),Foreign,,N,EditableStatement.graph_id,
OmniSeqKnowledgebase2,GOVariant,jaxVariant_graph_id,varchar(100),Foreign,Y,N,JaxVariant.graph_id,
OmniSeqKnowledgebase2,GOVariant,graph_id,varchar(100),Primary,N,N,,
OmniSeqKnowledgebase2,VariantSNVIndel,name_graph_id,varchar(100),Foreign,,N,EditableStatement.graph_id,
OmniSeqKnowledgebase2,VariantSNVIndel,description_graph_id,varchar(100),Foreign,N,N,EditableStatement.graph_id,
OmniSeqKnowledgebase2,VariantSNVIndel,nonCanonicalTranscript_graph_id,varchar(100),Foreign,,N,EditableStatement.graph_id,
OmniSeqKnowledgebase2,VariantSNVIndel,jaxVariant_graph_id,varchar(100),Foreign,Y,N,JaxVariant.graph_id,
OmniSeqKnowledgebase2,VariantSNVIndel,clinVarVariant_graph_id,varchar(100),Foreign,Y,N,ClinVarVariant.graph_id,
OmniSeqKnowledgebase2,VariantSNVIndel,hotSpotVariant_graph_id,varchar(100),Foreign,Y,N,HotSpotVariant.graph_id,
OmniSeqKnowledgebase2,VariantSNVIndel,goVariant_graph_id,varchar(100),Foreign,Y,N,GOVariant.graph_id,
OmniSeqKnowledgebase2,VariantSNVIndel,gene_graph_id,varchar(100),Foreign,Y,N,OmniGene.graph_id,
OmniSeqKnowledgebase2,VariantSNVIndel,variantType,varchar(100),,Y,N,,
OmniSeqKnowledgebase2,VariantSNVIndel,indelType,varchar(100),,Y,N,,
OmniSeqKnowledgebase2,VariantSNVIndel,pDot_graph_id,varchar(100),Foreign,N,N,EditableStatement.graph_id,
OmniSeqKnowledgebase2,VariantSNVIndel,cDot_graph_id,varchar(100),Foreign,N,N,EditableStatement.graph_id,
OmniSeqKnowledgebase2,VariantSNVIndel,gDot_graph_id,varchar(100),Foreign,N,N,EditableStatement.graph_id,
OmniSeqKnowledgebase2,VariantSNVIndel,exon_graph_id,varchar(100),Foreign,N,N,EditableStatement.graph_id,
OmniSeqKnowledgebase2,VariantSNVIndel,proteinEffect_graph_id,varchar(100),Foreign,N,N,EditableProteinEffect.graph_id,
OmniSeqKnowledgebase2,VariantSNVIndel,graph_id,varchar(100),Primary,N,N,,
OmniSeqKnowledgebase2,VariantRegion,name_graph_id,varchar(100),Foreign,,N,EditableStatement.graph_id,
OmniSeqKnowledgebase2,VariantRegion,description_graph_id,varchar(100),Foreign,N,N,EditableStatement.graph_id,
OmniSeqKnowledgebase2,VariantRegion,nonCanonicalTranscript_graph_id,varchar(100),Foreign,,N,EditableStatement.graph_id,
OmniSeqKnowledgebase2,VariantRegion,jaxVariant_graph_id,varchar(100),Foreign,Y,N,JaxVariant.graph_id,
OmniSeqKnowledgebase2,VariantRegion,clinVarVariant_graph_id,varchar(100),Foreign,Y,N,ClinVarVariant.graph_id,
OmniSeqKnowledgebase2,VariantRegion,hotSpotVariant_graph_id,varchar(100),Foreign,Y,N,HotSpotVariant.graph_id,
OmniSeqKnowledgebase2,VariantRegion,goVariant_graph_id,varchar(100),Foreign,Y,N,GOVariant.graph_id,
OmniSeqKnowledgebase2,VariantRegion,gene_graph_id,varchar(100),Foreign,Y,N,OmniGene.graph_id,
OmniSeqKnowledgebase2,VariantRegion,regionType,varchar(100),,Y,N,,
OmniSeqKnowledgebase2,VariantRegion,regionValue_graph_id,varchar(100),Foreign,,N,EditableInt.graph_id,
OmniSeqKnowledgebase2,VariantRegion,variantType,varchar(100),,Y,N,,
OmniSeqKnowledgebase2,VariantRegion,indelType,varchar(100),,Y,N,,
OmniSeqKnowledgebase2,VariantRegion,isFrameshift_graph_id,varchar(100),Foreign,,N,EditableBoolean.graph_id,
OmniSeqKnowledgebase2,VariantRegion,isDeleterious_graph_id,varchar(100),Foreign,,N,EditableBoolean.graph_id,
OmniSeqKnowledgebase2,VariantRegion,isTruncating_graph_id,varchar(100),Foreign,,N,EditableBoolean.graph_id,
OmniSeqKnowledgebase2,VariantRegion,proteinEffect_graph_id,varchar(100),Foreign,N,N,EditableProteinEffect.graph_id,
OmniSeqKnowledgebase2,VariantRegion,graph_id,varchar(100),Primary,N,N,,
OmniSeqKnowledgebase2,VariantCNV,name_graph_id,varchar(100),Foreign,,N,EditableStatement.graph_id,
OmniSeqKnowledgebase2,VariantCNV,description_graph_id,varchar(100),Foreign,N,N,EditableStatement.graph_id,
OmniSeqKnowledgebase2,VariantCNV,nonCanonicalTranscript_graph_id,varchar(100),Foreign,,N,EditableStatement.graph_id,
OmniSeqKnowledgebase2,VariantCNV,jaxVariant_graph_id,varchar(100),Foreign,Y,N,JaxVariant.graph_id,
OmniSeqKnowledgebase2,VariantCNV,clinVarVariant_graph_id,varchar(100),Foreign,Y,N,ClinVarVariant.graph_id,
OmniSeqKnowledgebase2,VariantCNV,hotSpotVariant_graph_id,varchar(100),Foreign,Y,N,HotSpotVariant.graph_id,
OmniSeqKnowledgebase2,VariantCNV,goVariant_graph_id,varchar(100),Foreign,Y,N,GOVariant.graph_id,
OmniSeqKnowledgebase2,VariantCNV,gene_graph_id,varchar(100),Foreign,Y,N,OmniGene.graph_id,
OmniSeqKnowledgebase2,VariantCNV,copyChange_graph_id,varchar(100),Foreign,N,N,EditableCopyChange.graph_id,
OmniSeqKnowledgebase2,VariantCNV,graph_id,varchar(100),Primary,N,N,,
OmniSeqKnowledgebase2,VariantFusion,name_graph_id,varchar(100),Foreign,,N,EditableStatement.graph_id,
OmniSeqKnowledgebase2,VariantFusion,description_graph_id,varchar(100),Foreign,N,N,EditableStatement.graph_id,
OmniSeqKnowledgebase2,VariantFusion,nonCanonicalTranscript_graph_id,varchar(100),Foreign,,N,EditableStatement.graph_id,
OmniSeqKnowledgebase2,VariantFusion,jaxVariant_graph_id,varchar(100),Foreign,Y,N,JaxVariant.graph_id,
OmniSeqKnowledgebase2,VariantFusion,clinVarVariant_graph_id,varchar(100),Foreign,Y,N,ClinVarVariant.graph_id,
OmniSeqKnowledgebase2,VariantFusion,hotSpotVariant_graph_id,varchar(100),Foreign,Y,N,HotSpotVariant.graph_id,
OmniSeqKnowledgebase2,VariantFusion,goVariant_graph_id,varchar(100),Foreign,Y,N,GOVariant.graph_id,
OmniSeqKnowledgebase2,VariantFusion,gene_graph_id,varchar(100),Foreign,Y,N,OmniGene.graph_id,
OmniSeqKnowledgebase2,VariantFusion,gene5Prime_graph_id,varchar(100),Foreign,Y,N,EditableOmniGeneReference.graph_id,
OmniSeqKnowledgebase2,VariantFusion,exon5Prime_graph_id,varchar(100),Foreign,Y,N,EditableInt.graph_id,
OmniSeqKnowledgebase2,VariantFusion,gene3Prime_graph_id,varchar(100),Foreign,Y,N,EditableOmniGeneReference.graph_id,
OmniSeqKnowledgebase2,VariantFusion,exon3Prime_graph_id,varchar(100),Foreign,Y,N,EditableInt.graph_id,
OmniSeqKnowledgebase2,VariantFusion,copyChange_graph_id,varchar(100),Foreign,N,N,EditableCopyChange.graph_id,
OmniSeqKnowledgebase2,VariantFusion,graph_id,varchar(100),Primary,N,N,,
OmniSeqKnowledgebase2,GenomicVariantMarker,name_graph_id,varchar(100),Foreign,,N,EditableStatement.graph_id,
OmniSeqKnowledgebase2,GenomicVariantMarker,variant_graph_id,varchar(100),Foreign,Y,N,VariantSNVIndel.graph_id,
OmniSeqKnowledgebase2,GenomicVariantMarker,gene_graph_id,varchar(100),Foreign,Y,N,OmniGene.graph_id,
OmniSeqKnowledgebase2,GenomicVariantMarker,method_graph_id,varchar(100),Foreign,,N,EditableStatement.graph_id,
OmniSeqKnowledgebase2,GenomicVariantMarker,graph_id,varchar(100),Primary,N,N,,
